PMID,Title,Authors,Year,Journal,Abstract,PRELIM_DECISION,Missing_Performance_Metric,Reviewer_1_Decision,Reviewer_2_Decision,Conflict
42487975,Telemedicine in total joint arthroplasty: toward continuous and patient-centered postoperative care.,Zhang D; Zhong Q; Zhou R; Peng C; Huang W; Xie C; Xie H; Hu S; Zou J,2026,Frontiers in medicine,"Telemedicine has increasingly become an important component of orthopedic postoperative care, particularly in total joint arthroplasty (TJA). This mini review synthesizes current evidence suggesting that specific telemedicine modalities-such as video-based consultations, smartphone-assisted wound monitoring, and structured telerehabilitation-may achieve comparable outcomes in terms of wound assessment accuracy, short-term functional recovery, and patient satisfaction in selected patients undergoing uncomplicated total hip or knee arthroplasty. By reducing geographical and logistical barriers, it enables more continuous and accessible follow-up, potentially supporting patient-centered recovery. Beyond clinical outcomes, telemedicine may facilitate multidisciplinary collaboration, support early identification of complications, and enhance psychosocial engagement through sustained patient-provider communication. Nevertheless, the existing evidence is heterogeneous, and its generalizability is limited by factors such as digital access disparities, variability in study design, and evolving regulatory frameworks. Future developments, including artificial intelligence and wearable technologies, may further expand the role of telemedicine in postoperative care. Overall, telemedicine represents a promising adjunct to conventional follow-up, although its optimal integration into routine orthopedic practice requires further validation.",PRELIM_INCLUDE,N,,,
42370012,Explainable residual ensemble modelling for EuroQol-5 dimensions-based quality-of-life assessment and stratification in patients with knee osteoarthritis.,Lee J; Oh S; Hwan Choi J; Taek Lee J; Ryun Kim B; Lee S,2026,Digital health,"To develop an interpretable machine-learning framework for supporting quality-of-life (QoL) assessment and stratification in patients with knee osteoarthritis (OA) by integrating linear and nonlinear modelling strategies. This retrospective study utilised de-identified clinical data from 1,102 patients with knee OA collected at a university hospital in South Korea between September 2013 and January 2022 and made available via the AI Hub platform. QoL was assessed using the EuroQol-5 Dimensions (EQ-5D) index and dichotomised at 0.7. A residual ensemble model combining logistic regression (LR) and a Random Forest residual learner was developed and evaluated using stratified train-test split and three-fold cross-validation. Model performance was assessed using accuracy, F1-score, ROC-AUC, and PR-AUC. Model interpretability was examined using LR coefficients and SHAP analysis. The proposed model achieved superior performance on the independent test set (accuracy = 0.88, precision = 0.85, recall = 0.83, F1 = 0.84, ROC-AUC = 0.93, PR-AUC = 0.91), outperforming individual baseline models. Key predictors included functional limitation (WOMAC), pain severity (VAS), and surgical history (TKA). Incorporating interaction features further improved accuracy to 0.89 without compromising interpretability. The proposed residual ensemble framework effectively balances predictive performance and interpretability, providing a clinically meaningful framework for QoL assessment and risk stratification in knee OA. This approach supports the development of explainable decision-support tools in digital musculoskeletal health.",PRELIM_INCLUDE,N,,,
42305898,"Increasing research on personalized alignment concepts, robotic-assisted surgery and artificial intelligence in total knee arthroplasty: A bibliometric analysis of the last 10 years in KSSTA.",Onoi Y; Elsheikh R; Matsumoto T; Kuroda R; Huegli R; Nowakowski AM; Hirschmann MT,2026,Journal of experimental orthopaedics,"To evaluate contemporary trends in total knee arthroplasty (TKA) research published in Knee Surgery, Sports Traumatology, Arthroscopy (KSSTA) over the last decade, with a focus on alignment concepts and surgical assistance technologies. KSSTA articles on primary TKA published between 2015 and 2024 were identified through Scopus. After exclusions, 856 articles were analysed. Bibliometric data were extracted and manually classified according to alignment concepts (mechanical [MA], kinematic [KA] or functional [FA]), surgical assistance technologies (manual, navigation, patient-specific instrumentation [PSI] or robotic-assisted surgery), study design and the use of patient-reported outcome measures (PROMs). Analyses and visualizations were performed using R (Bibliometrix) and VOSviewer. Alignment concepts shifted after 2022; KA increased to 40% (16/40 articles) and FA to 30% (12/40 articles) in 2024, whereas MA declined to 30% (12/40 articles). Manual TKA dominated overall (455/699 articles, 65%), whereas navigation (118 articles, 17%) and PSI (63 articles, 9%) contributed steadily at lower levels. Robotic-assisted surgery emerged after 2021, overall reaching 63/699 articles (9%) and peaking at 26/104 articles (25%) in 2023. Artificial intelligence (AI)-based studies appeared after 2020, reaching 6/112 articles (5%) in 2022, showing steady growth. International collaboration rates were higher in Europe and North America (up to ~58% multiple-country publications [MCP]) than in Asia (<10% MCP). PROMs usage remained broad, with a notable increase in Forgotten Joint Score since 2020. The KSSTA TKA literature (2015-2024) reflects a shift toward personalization (KA/FA) and precision (robotics), alongside the emergence of AI. The convergence of phenotype-aware planning, precise execution and data-driven evaluation outlines a coherent path forward. Continued methodological rigour and standardized reporting are essential to translate these trends into durable improvements in TKA outcomes. Future research should prioritize high-quality comparative studies to clarify the clinical impact of emerging alignment strategies and technological innovations in TKA. Level IV.",PRELIM_EXCLUDE,,,,
42199571,"Outpatient Versus Hospital-Based Total Knee Arthroplasty: A Survey-Based Comparison of Complications, Infection, and Patient Satisfaction in a Contemporary U.S. Cohort.",Woo BR; Khan MY; Patel KB; Persaud NA; Brecher L,2026,Cureus,"Introduction The use of outpatient pathways for total knee arthroplasty (TKA) has expanded with advances in perioperative optimization and risk stratification; however, concerns remain regarding safety and patient outcomes. This study aimed to compare postoperative complications, infection rates, and patient satisfaction between an outpatient surgery center and hospital-based TKA, while assessing the relative contribution of patient-level factors to outcomes. Methodology A cross-sectional survey of 384 adults in the United States who had undergone primary TKA was conducted. Individuals with additional joint arthroplasties were excluded to isolate the effect of the surgical setting, resulting in 305 hospital TKAs and 79 outpatient TKAs. The primary exposure was a surgical setting. Primary outcomes included any self-reported postoperative complication, infection, and willingness to undergo TKA again. Outcomes were compared using chi-square and t-tests. Multivariable logistic regression was performed, adjusting for age, sex, body mass index (BMI), diabetes, surgical technique, and physical therapy adherence. Results Outpatient TKA patients were younger (47.6 vs. 55.4 years, P < 0.00001) and more frequently male (55.7% vs. 40.3%, P = 0.0199). These differences reflect real-world patient selection patterns for outpatient arthroplasty and indicate baseline imbalance between cohorts. Diabetes prevalence did not differ significantly between groups (17.4% vs. 13.9%, P = 0.57). Rates of complications (34.2% vs. 31.8%, P = 0.79), infection (5.1% vs. 8.5%, P = 0.43), and willingness to undergo TKA again (82.3% vs. 77.0%, P = 0.40) were similar between outpatient and hospital settings. Among older patients (≥56 years), outpatient TKA was associated with a higher proportion of patients willing to undergo the procedure again (91.3% vs. 75.4%). In adjusted analyses, surgical setting was not associated with complications (odds ratio (OR) 0.83, 95% confidence interval (CI) 0.47-1.47, P = 0.52), infection (OR 0.41, 95% CI 0.13-1.27, P = 0.12), or satisfaction (OR 1.21, 95% CI 0.61-2.43, P = 0.58). Higher BMI (OR 1.07, 95% CI 1.03-1.11, P = 0.0012) and male sex (OR 0.26 for female vs. male, 95% CI 0.11-0.61, P = 0.0021) were associated with increased infection risk. Robotic-assisted TKA (OR 3.29, 95% CI 1.43-7.57, P = 0.0052) and male sex (OR 0.47 for female vs. male, 95% CI 0.27-0.82, P = 0.0078) were associated with higher satisfaction. Diabetes was associated with increased complications (OR 1.95, 95% CI 1.06-3.57, P = 0.030) and lower satisfaction (OR 0.47, 95% CI 0.24-0.92, P = 0.027), but not infection. Conclusions Outpatient TKA was associated with similar observed rates of complications, infection, and patient satisfaction compared with hospital-based TKA in this cohort; however, these findings should be interpreted with caution, given baseline differences between groups and the potential for residual confounding. Patient-level factors, including BMI, sex, diabetes, and use of robotic assistance, appear to have a greater impact on outcomes than surgical setting. These findings support outpatient TKA as a safe and effective approach and emphasize the importance of individualized risk stratification and perioperative optimization.",NEEDS_REVIEW,,,,
42194735,A 120° Preoperative Knee Flexion Cutoff Identifies Patients Likely to Achieve Postoperative Flexion ≥ 120° and Clinically Meaningful Flexion Gain After Total Knee Arthroplasty.,Kubo M; Maeda T; Kumagai K; Amano Y; Nosaka Y; Uenaka K; Fujikawa H; Horikawa S; Kawasaki T; Imai S,2026,Journal of clinical medicine,"Background/Objectives: In our previous study, we reported that postoperative flexion ≥ 120° is associated with better knee function after TKA, whereas flexion gain is associated with higher patient satisfaction. However, preoperative determinants of achieving these clinically relevant targets remain unclear. This study investigated preoperative factors predicting (1) postoperative flexion ≥ 120° and (2) clinically meaningful flexion gain after TKA. Methods: We retrospectively reviewed prospectively collected data from 221 primary TKAs (171 patients) performed between 2014 and 2020. Passive knee range of motion (ROM) was measured preoperatively and at 1 year postoperatively. Preoperative variables included age, sex, body mass index (BMI), Pain Catastrophizing Scale, Knee Society Score, and Knee Injury and Osteoarthritis Outcome Score (KOOS). Patients were categorized as the good-flexion group (postoperative flexion ≥ 120°) or poor-flexion group (<120°), and as the improvement group (flexion gain ≥ 5°) or no-improvement group (<5°). Variables differing between groups were entered into multivariable logistic regression. Receiver operating characteristic (ROC) analysis (Youden index) identified optimal cutoffs. Results: Postoperative flexion was ≥120° in 63.3% of knees, and flexion gain ≥ 5° occurred in 48.4%. In multivariable models, preoperative flexion angle was the only independent preoperative predictor of achieving postoperative flexion ≥ 120° (p < 0.001) and flexion gain ≥ 5° (p < 0.001). ROC analysis showed that a preoperative flexion cutoff of 120° best discriminated both outcomes (AUC 0.78 for postoperative flexion ≥ 120°; AUC 0.80 for flexion gain ≥ 5°). Conclusions: A 120° preoperative knee flexion threshold provides a simple, clinically actionable marker for predicting postoperative flexion ≥ 120° and meaningful flexion gain after TKA. Incorporating preoperative flexion into shared decision-making may improve counseling by setting realistic expectations for postoperative knee function and satisfaction.",NEEDS_REVIEW,,,,
42164073,Poor Sleep Quality Associated with Impaired Postoperative Outcomes and Frailty Incidence in Elderly Patients After Total Hip Arthroplasty: A Severity Matched Case-Control Study.,Zhao L; Wu H; Wu Z; Li FY; Yan JF,2026,Journal of multidisciplinary healthcare,"This study aimed to assess the effect of preoperative sleep quality on postoperative pain, functional recovery, and weakness in THA patients and explore its interaction with other health issues. This retrospective case-control study included 90 patients (45 with poor sleep PSQI>5 and 45 with good sleep PSQI≤5) matched by age, sex, and the American Society of Anesthesiologists (ASA) classification. Data on sleep, hip function, pain, anxiety/depression, and weakness were collected preoperatively and 6 months postoperatively. Multiple logistic regression was used to analyze the postoperative frailty risk factors, adjusting for age, body mass index (BMI), diabetes, and osteoporosis history, with ORs and 95% CIs. Patients with poor preoperative sleep quality demonstrated significantly longer hospital stays (4.79±1.47 vs 3.42±0.89 days, P<0.001) and higher pain scores at 3 months postoperatively (visual analog scale [VAS] 3.13±1.04 vs 1.87±0.87, P<0.001). Multivariate analysis identified preoperative poor sleep as an independent predictor of postoperative frailty (OR=2.44, 95% CI 0.97-4.20, P=0.002), along with age ≥65 years (OR=11.29) and osteoporosis history (OR=2.06). Two-way ANOVA revealed significant group-time interactions in PSQI scores (P<0.001). While both groups showed postoperative PSQI improvement (poor sleep: 11.89±2.92 to 6.56±2.39; good sleep: 3.31±1.57 to 2.29±1.14), between-group differences remained significant (P<0.001). Poor preoperative sleep quality was associated with a higher risk of pain and frailty after THA, possibly due to a two-way relationship. Although this study has some limitations, preoperative sleep screening could be useful in improving perioperative care and requires further testing in future studies.",NEEDS_REVIEW,,,,
42162755,Limited Femoral Joint-Line Alteration and Preserved Extension Lateral Laxity Enhanced Early Outcomes in Restricted Kinematic Alignment Total Knee Arthroplasty.,Lee DW; Ro DH; Han HS,2026,The Journal of arthroplasty,"Restricted kinematic alignment (rKA) total knee arthroplasty (TKA) seeks to restore native alignment while limiting excessive correction. The influence of alignment change magnitude and intraoperative gap characteristics on early patient-reported outcome measures (PROMs) after robotic rKA TKA remains unclear. This retrospective cohort study included 69 robotic-arm-assisted cruciate-retaining TKAs performed using an rKA protocol. Intraoperative medial and lateral extension and flexion gaps-extension medial gap, extension lateral gap, flexion medial gap (FMG), and flexion lateral gap-were recorded automatically. Preoperative and postoperative hip-knee-ankle (HKA) angle, lateral distal femoral angle (LDFA), and medial proximal tibial angle were measured using a validated deep learning model. Multivariable analyses of covariance evaluated associations between demographics, baseline alignment, alignment changes, gap characteristics, and PROMs at one and two years. All PROMs improved postoperatively. Smaller changes in HKA and LDFA were independently associated with higher two-year Knee Society Knee Scores (P = 0.001 and P = 0.013). Greater ELG was associated with a higher two-year Forgotten Joint Score (P = 0.001), whereas greater FMG was associated with lower two-year Western Ontario and McMaster Universities Osteoarthritis Index pain and stiffness scores (P = 0.011 and P = 0.002). Receiver operating characteristic analyses identified changes in LDFA less than 2.3° (area under the curve [AUC] 0.622) and changes in HKA less than 8.4° (AUC 0.541) as thresholds associated with higher Knee Society Knee Score. An ELG ≥ 3.0 mm predicted higher Forgotten Joint Score (AUC 0.658), and FMG ≥ 1.5 mm predicted lower Western Ontario and McMaster Universities Osteoarthritis Index stiffness (AUC 0.716). No revisions occurred. In robotic cruciate-retaining rKA TKA, minimizing femoral joint-line alteration and preserving controlled lateral extension laxity, along with mild medial flexion laxity, were associated with modestly improved early outcomes. These findings are exploratory and require validation in larger cohorts with longer follow-up.",PRELIM_INCLUDE,N,,,
42162752,Latent Classes of Fear of Falling Trajectories and Associated Factors Among Older Patients After Total Knee Arthroplasty: A Prospective Longitudinal Study.,Xia Y; Wang Y; Zhang G; Li X; Zhang Y; Xu S; Sun T,2026,The Journal of arthroplasty,"This study aimed to examine trajectories of fear of falling (FOF) and their associated factors in older patients who underwent total knee arthroplasty (TKA) and provide evidence to tailor postoperative rehabilitation for different patient groups. This prospective longitudinal study enrolled 315 consecutive patients who underwent TKA at a tertiary hospital in China between March and May 2025. Baseline demographic and clinical variables were collected preoperatively. The Fear of Falling Questionnaire-revised, Visual Analog Scale (VAS) pain score, Positive Psychological Questionnaire (PPQ), Distress Disclosure Index (DDI), Western Ontario and McMaster Universities Osteoarthritis Index, and the shortened Chinese version of the Family Resilience Assessment Scale were assessed on postoperative day 1 (T1), one week (T2), one month (T3), and three months (T4). Of the 315 patients enrolled, 270 completed all four time point assessments and were included in the analyses. A latent class growth model identified FOF trajectories, and multivariable multinomial logistic regression was used to determine independent predictors. The study followed the Strengthening the Reporting of Observational Studies in Epidemiology reporting guideline for observational studies. Overall FOF decreased from T1 to T4. The latent class growth model identified three trajectories: high-level slow-declining (C1, n = 72, 26.7%), low-level stable (C2, n = 51, 18.9%), and moderate-level increasing-then-decreasing (C3, n = 147, 54.4%). Using the C2 group as a reference, predictors of membership in the C1 group were older age, lower PPQ scores, lower DDI scores, and a higher Visual Analog Scale pain score. Predictors of membership in the C3 group were older age, education level, and lower DDI scores. Within three months after TKA, older patients followed three distinct trajectories of FOF. Age, education, psychological measures (PPQ and DDI), and pain intensity were key associated factors, whereas early postoperative mobilization was not significantly associated with trajectory membership. Clinicians should develop individualized interventions for different trajectory groups to promote early recovery and improve prognosis.",NEEDS_REVIEW,,,,
42157032,Concurrent lumbar degenerative disease is independently associated with chronic post-surgical pain after total knee arthroplasty for knee osteoarthritis: a retrospective study.,Zhang X; Zhu X; Rao D; Sha L; Hao L; Jiang S; Zhang Z; Zhang C,2026,BMC surgery,"Chronic post-surgical pain (CPSP) after total knee arthroplasty (TKA) remains a significant clinical challenge. This study aimed to investigate the association between concurrent lumbar degenerative disease (LDD) and CPSP after TKA for knee osteoarthritis (KOA). A total of 348 KOA patients undergoing first unilateral TKA (June 2023-June 2025) were enrolled and stratified into LDD (n = 167) and non-LDD (n = 181) groups. CPSP incidence, pain severity, and postoperative knee function were compared. Logistic regression models were constructed to identify influencing factors for CPSP after TKA. At 6 months postoperatively, both groups showed significant improvements in knee function, mobility, and pain (all P < 0.05). Compared with the non-LDD group, the LDD group exhibited lower knee society scores, reduced knee range of motion, a shorter 6-minute walk distance, a longer timed up and go test time, higher visual analogue scale (VAS) scores for pain at rest and during activity, a higher rate of non-steroidal anti-inflammatory drug use, and a higher incidence of CPSP (all P < 0.05). Depression/anxiety history, preoperative VAS scores, and LDD were independently associated with CPSP after TKA in patients with KOA (all P < 0.05). Among patients with KOA with concurrent LDD, depression/anxiety history, preoperative VAS scores, and preoperative radicular symptoms were independently associated with CPSP after TKA (all P < 0.05). LDD is independently associated with CPSP after TKA. In patients with KOA with concurrent LDD, preoperative radicular symptoms, depression/anxiety history, and intense preoperative pain further increase CPSP risk.",NEEDS_REVIEW,,,,
42152099,CT-based 3D planning-supported stem-free screw-cement augmentation versus 2D radiograph-planned short-stem reconstruction for AORI type I-II medial tibial defects in TKA: a two-year retrospective study.,Lu Z; Feng Y; Xia Q; Lin H; Chen J; Wang X; Zhu J; Fan X; Lin C; Xu Q; Wang Q,2026,Journal of orthopaedic surgery and research,"Medial tibial defects in varus knee osteoarthritis (KOA) challenge alignment and tibial support in primary total knee arthroplasty (TKA). A stem-free metaphyseal screw-cement strategy supported by computed tomography (CT)-based three-dimensional (3D) planning, with artificial intelligence (AI)-assisted segmentation used for model generation in the planning software, may be a bone-preserving alternative to conventional two-dimensional (2D) radiograph planning with short tibial stems. This study compared early tibial alignment and clinical outcomes between two reconstructive pathways in Anderson Orthopaedic Research Institute (AORI) type I-II medial tibial defects. In this single-centre retrospective cohort, 97 patients with varus KOA and AORI type I-II medial tibial defects undergoing TKA were managed using either a CT-based 3D planning-supported stem-free screw-cement pathway (n = 38) or a 2D radiograph-planned short-stem pathway (n = 59). Given non-randomised pathway allocation, analyses assessed associations. The primary outcome was the absolute deviation of the mechanical medial proximal tibial angle (mMPTA) from 90° at 4-8 weeks. Secondary outcomes included achievement of mMPTA within 90° ± 3°, intraoperative visible blood loss, pain and function measured by the visual analogue scale (VAS), Knee Society Score (KSS), and Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) at 3 and 24 months, and complications. Between-pathway comparisons used standard univariable tests, findings were interpreted as associative given non-randomised allocation. Baseline characteristics were comparable between pathways (all P > 0.05). Postoperative tibial alignment did not differ, with comparable absolute deviation of mMPTA from 90° and similar rates within 90° ± 3°. Operative time was similar, but visible blood loss was lower in the CT-3D screw-cement pathway than in the 2D short-stem pathway (262.7 ± 75.3 vs 381.9 ± 71.3 mL, P < 0.001). At 3 months, the CT-3D screw-cement pathway showed lower VAS and better KSS/WOMAC, whereas outcomes were comparable at 24 months. No deep infection, radiographic loosening, periprosthetic fracture, or revision was observed within 24 months. The CT-3D screw-cement pathway was associated with tibial alignment and 24-month function comparable to the 2D short-stem pathway, with lower blood loss and better early recovery. Fixation-related inferences are limited to early radiographic stability.",PRELIM_INCLUDE,Y,,,
