item_key,title,authors,year,source,doi,decision,reason,model,prompt_version,screened_at
10.1002/jor.25125,Development of machine learning algorithms to predict achievement of minimal clinically important difference for the KOOS‐PS following total knee arthroplasty,Akhil Katakam; Aditya V. Karhade; Austin K. Collins; David Shin; Charles R. Bragdon; Antonia F. Chen; Christopher M. Melnic; Joseph H. Schwab; Hany S. Bedair,2021,Journal of Orthopaedic Research®,10.1002/jor.25125,include,"All three criteria are met: (1) study population underwent primary TKA; (2) multiple machine learning algorithms were developed and evaluated (elastic-net penalized logistic regression, and four other ML models); (3) primary outcome is KOOS-PS, a validated patient-reported outcome measure.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:15.550929+00:00
10.1186/s42836-021-00087-3,Development and internal validation of machine learning algorithms to predict patient satisfaction after total hip arthroplasty,Siyuan Zhang; Jerry Yongqiang Chen; Hee Nee Pang; Ngai Nung Lo; Seng Jin Yeo; Ming Han Lincoln Liow,2021,Arthroplasty,10.1186/s42836-021-00087-3,include,"All three criteria are met: (1) procedure is THA (primary); (2) multiple ML algorithms are developed and validated (Random Forest, XGBoost, SVM, Logistic LASSO); (3) primary outcome is patient satisfaction predicted using preoperative PROMs (SF-36, WOMAC, OHS) with postoperative satisfaction as the target PROM outcome.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:15.628504+00:00
10.1186/s12911-018-0731-6,Predicting patient-reported outcomes following hip and knee replacement surgery using supervised machine learning,Manuel Huber; Christoph Kurz; Reiner Leidl,2019,BMC Medical Informatics and Decision Making,10.1186/s12911-018-0731-6,include,"All three criteria are met: (1) the study population underwent THA and TKA; (2) eight supervised ML classifiers including extreme gradient boosting, random forests, and elastic net were developed and validated; (3) the primary outcomes are PROMs (EQ-5D-3L VAS and Oxford Hip/Knee Scores).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:15.630907+00:00
10.1016/j.arth.2020.07.026,Can Machine Learning Methods Produce Accurate and Easy-to-Use Preoperative Prediction Models of One-Year Improvements in Pain and Functioning After Knee Arthroplasty?,Alex H. S. Harris; Alfred C. Kuo; Thomas Bowe; Luisa Manfredi; Narlina Lalani; Nicholas J. Giori,2020,The Journal of Arthroplasty,10.1016/j.arth.2020.07.026,include,"All three criteria are met: (1) procedure is TKA; (2) multiple machine learning methods are explicitly used for model development and validation; (3) primary outcomes are PROMs (KOOS Total, KOOS JR, and KOOS subscales including Pain, Symptoms, ADL, Quality of Life).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:16.922959+00:00
10.1016/j.arth.2023.04.040,Coronal and Sagittal Component Position in Contemporary Total Knee Arthroplasty: Targeting Native Alignment Optimizes Clinical Outcomes,Hassan Farooq; Evan R. Deckard; Justin Carlson; Nathan Ghattas; R. Michael Meneghini,2023,The Journal of Arthroplasty,10.1016/j.arth.2023.04.040,include,All three criteria are met: (1) procedure is TKA; (2) classification and regression tree machine learning models are used; (3) primary outcomes are PROMs (patient-reported outcome measures and MCIDs in PROM scores).,claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:17.022449+00:00
10.1186/s12891-025-08339-y,Preoperatively predicting failure to achieve the minimum clinically important difference and the substantial clinical benefit in patient-reported outcome measures for total hip arthroplasty patients using machine learning,Jaeyoung Park; Xiang Zhong; Emilie N. Miley; Chancellor F. Gray,2025,BMC Musculoskeletal Disorders,10.1186/s12891-025-08339-y,include,"All three criteria are met: (1) procedure is THA (total hip arthroplasty); (2) multiple machine learning models were developed and evaluated (areas under ROC and precision-recall curves reported); (3) primary outcome is a PROM (Hip Disability and Osteoarthritis Outcome Score for Joint Replacement, with MCID and SCB as key endpoints).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:18.636244+00:00
10.1001/jamanetworkopen.2020.37107,"Comparison of an Artificial Intelligence–Enabled Patient Decision Aid vs Educational Material on Decision Quality, Shared Decision-Making, Patient Experience, and Functional Outcomes in Adults With Knee Osteoarthritis",Prakash Jayakumar; Meredith G. Moore; Kenneth Furlough; Lauren M. Uhler; John P. Andrawis; Karl Koenig; Nazan Aksan; Paul J. Rathouz; Kevin J. Bozic,2021,JAMA Network Open,10.1001/jamanetworkopen.2020.37107,exclude,"The study does not meet criterion 2 (no AI/ML model development or validation for PROM prediction). While the paper describes an ""AI-enabled decision aid,"" it uses AI to generate personalized outcome estimations based on existing patient-reported outcome data rather than developing or validating an ML model to predict PROMs; the AI component appears to be a tool for clinical decision support rather than a predictive model being evaluated for accuracy in forecasting patient outcomes (E2).",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:19.053954+00:00
10.1007/s00167-021-06642-4,Machine learning algorithms do not outperform preoperative thresholds in predicting clinically meaningful improvements after total knee arthroplasty,Siyuan Zhang; Bernard Puang Huh Lau; Yau Hong Ng; Xinyu Wang; Weiliang Chua,2021,Knee Surgery Sports Traumatology Arthroscopy,10.1007/s00167-021-06642-4,include,"All three criteria are met: (1) study population underwent primary TKA; (2) machine learning algorithms were developed and validated (comparing ML performance against preoperative thresholds); (3) primary outcomes are PROMs (SF-36 PCS, SF-36 MCS, and WOMAC) with MCID attainment as the prediction target.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:20.328909+00:00
10.1016/j.arth.2020.12.038,Patient Factors That Matter in Predicting Hip Arthroplasty Outcomes: A Machine-Learning Approach,Jhase Sniderman; Roland B. Stark; Carolyn E. Schwartz; Hajra Imam; Joel Finkelstein; Markku Nousiainen,2021,The Journal of Arthroplasty,10.1016/j.arth.2020.12.038,include,All three criteria are met: (1) the study population underwent THA (total hip arthroplasty); (2) a machine learning model (LASSO) was developed to predict outcomes; and (3) the primary outcome is a patient-reported outcome measure (HOOS — Hip Disability and Osteoarthritis Outcome Score).,claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:20.720707+00:00
10.1016/j.arth.2020.03.019,Development of Machine Learning Algorithms to Predict Clinically Meaningful Improvement for the Patient-Reported Health State After Total Hip Arthroplasty,Kyle N. Kunze; Aditya V. Karhade; Alex J. Sadauskas; Joseph H. Schwab; Brett R. Levine,2020,The Journal of Arthroplasty,10.1016/j.arth.2020.03.019,include,"All three criteria are met: (1) procedure is primary THA; (2) method includes five supervised machine learning algorithms (random forest, and others) with rigorous validation; (3) primary outcome is patient-reported health state (PRHS), a PROM, with clinically meaningful improvement as the prediction target.",claude-haiku-4-5-20251001,v1-2026-05-20,2026-05-21T14:50:21.008033+00:00
