#,decision,year,title,authors,source,doi,abstract_decision_reason,reviewer1,reviewer2,final_decision,exclusion_reason
1,borderline,,"Demand prediction method for total knee joint            replacement (TKR) in clinical auxiliary decision,            involves classifying output probability value of TKA            based on set risk threshold and visualized using color            coding, structural heatmaps, or Shapley interpretation            diagrams",ZHANG H,,,"No abstract available to verify whether all three criteria are met (procedure appears to be TKA, but AI/ML method and PROM outcome cannot be confirmed from title alone).",,,,
2,borderline,2014,Evaluating treatment effectiveness under model misspecification: A comparison of targeted maximum likelihood estimation with bias-corrected matching,Noémi Kreif; Susan Gruber; Rosalba Radice; Richard Grieve; Jasjeet S. Sekhon,Statistical Methods in Medical Research,10.1177/0962280214521341,"The study involves hip prosthesis and health-related quality of life (a PROM), and uses machine learning approaches, but the abstract does not clearly specify whether the primary outcome is a validated PROM (e.g., HOOS, OHS, SF-36, EQ-5D) or a generic quality-of-life measure, and does not confirm that the ML models directly predict the PROM rather than serving as auxiliary tools in a causal inference framework; full text review needed to confirm criterion 3.",,,,
3,borderline,2017,Predicting and Analyzing Osteoarthritis Patient Outcomes with Machine Learning,Per-Victor Persson; Hans Rietz,Lund University Publications Student Papers (Lund University),,"The abstract mentions machine learning models (neural networks, logistic regression, gradient boosting) applied to osteoarthritis patients, but does not specify whether the study population underwent TKA/THA surgery, what the specific patient outcomes measured are (unclear if PROMs like KOOS/WOMAC or clinical outcomes), or provide sufficient detail to confirm all three criteria are met.",,,,
4,borderline,2018,An Unsupervised Learning Model for Pattern Recognition in Routinely Collected Healthcare Data,S. Khalid; A. Judge; R. Pinedo-Villanueva,International Conference on Health Informatics,10.5220/0006535602660273,"The study uses ML methods (k-means, hierarchical clustering) on knee replacement surgery patients with self-reported pain outcomes (PROM data), meeting criteria 1-3, but the abstract does not clearly state whether the model predicts PROMs prospectively or merely identifies retrospective patterns in existing data; full text review needed to confirm if this constitutes PROM prediction rather than post-hoc clustering.",,,,
5,borderline,2018,Analysis of patient domestic activity in recovery from hip or knee replacement surgery: modelling wrist-worn wearable RSSI and accelerometer data in the wild,Mike Holmes; Hao Song; Emma L. Tonkin; Miquel Perelló-Nieto; Sabrina Grant; Peter Flach,Bristol Research (University of Bristol),,"The study involves THA/TKA patients and applies machine learning to wearable/sensor data, but the abstract does not clearly state that the ML models directly predict patient-reported outcomes (Oxford Hip & Knee scores are mentioned as conventional assessments used by clinicians, not as the primary ML prediction target); instead, the ML appears to predict location and activity classification, which are behavioral proxies rather than PROMs themselves.",,,,
6,borderline,2018,Pre-operative sensor-based gait parameters predict functional outcome after total knee arthroplasty,Felix Kluge; Julius Hannink; Cristian Pasluosta; Jochen Klucken; Heiko Gaßner; Kolja Gelse; Bjoern M. Eskofier; Sebastian Krinner,Gait & Posture,10.1016/j.gaitpost.2018.08.026,"The study meets criteria 1 (TKA) and 2 (machine learning used), but criterion 3 is ambiguous—while PROMs improved significantly post-operatively, the primary outcome appears to be gait function (a clinical outcome), and it is unclear whether PROM prediction was the primary or key secondary outcome versus gait-based responder classification.",,,,
7,borderline,2019,PSU39 FEASIBILITY STUDY OF USING PATIENT REPORTED OUTCOMES AND PREDICTIVE ANALYTICS IN CLINICAL DECISION SUPPORT TO ENHANCE PATIENT CENTERED CARE,N.K. Hermansen; Henriette Bjerregaard; Mogens Berg Laursen; Lars Holger Ehlers,Value in Health,10.1016/j.jval.2019.09.2623,"No abstract available to verify that all three criteria are met (procedure type, AI/ML method, and PROM outcome); title suggests potential relevance but insufficient detail to confirm study design and methods.",,,,
8,borderline,2019,Remote Patient Monitoring Using Mobile Health for Total Knee Arthroplasty: Validation of a Wearable and Machine Learning-Based Surveillance Platform.,P. Ramkumar; Heather S. Haeberle; Deepak Ramanathan; W. Cantrell; S. Navarro; Michael A Mont; Michael R. Bloomfield; B. Patterson,The Journal of arthroplasty,10.1016/j.arth.2019.05.021,"The study involves TKA (criterion 1 met) and collects PROMs including KOOS (criterion 3 met), but the abstract does not clearly describe whether machine learning models are developed to *predict* PROMs; instead, it appears to validate a remote monitoring platform that *collects* PROMs data, with machine learning potentially used for wearable data processing rather than PROM prediction (criterion 2 unclear).",,,,
9,borderline,2020,"Data-driven Patient Profiles: Definition, validation, and implementation for tailored orthopaedic healthcare services",Tessa Dekkers,Research Repository (Delft University of Technology),10.4233/uuid:a9ed38e9-4cf5-4b35-a43c-68c1b283e938,"While the study involves TKA/THA patients and uses machine learning for patient profiling, the abstract does not clearly specify that the primary outcome is a PROM (patient-reported outcome measure); it focuses on ""patient experience"" and ""patient profiling"" for tailoring healthcare services, which may be process/satisfaction outcomes rather than validated PROMs like KOOS, HOOS, or WOMAC. Full text review needed to confirm whether validated PROMs are the primary or key secondary outcome being predicted by the ML models.",,,,
10,borderline,2020,Improving Patient Outcomes Following Total Knee Arthroplasty: Identifying Rehabilitation Pathways Based on Modifiable Psychological Risk and Resilience Factors,Elizabeth Ditton; Sarah J. Johnson; Nicolette A. Hodyl; Traci Flynn; Michael Pollack; Karen Ribbons; Frederick R. Walker; Michael Nilsson,Frontiers in Psychology,10.3389/fpsyg.2020.01061,"The abstract describes a conceptual proposal to develop a machine-learning model to predict postoperative recovery trajectories and patient-centered outcomes following TKA, meeting criteria 1 (TKA procedure) and 2 (ML model mentioned), but the abstract does not explicitly name or confirm specific PROM instruments as primary outcomes, making criterion 3 ambiguous—full text review needed to verify whether validated PROMs are the actual measured outcomes.",,,,
11,borderline,2020,"Individualized predictions of changes in knee pain, quality of life and walking speed following patient education and exercise therapy in patients with knee osteoarthritis – a prognostic model study",Linda Baumbach; Markus List; D.T. Grønne; Søren Thorgaard Skou; Ewa M. Roos,Osteoarthritis and Cartilage,10.1016/j.joca.2020.05.014,"No abstract available to assess whether the study develops/validates an AI/ML model (criterion 2) versus purely statistical methods, and whether it includes patients with TKA/THA (criterion 1) or only conservative management for knee OA.",,,,
12,borderline,2020,Modelling Patient Behaviour Using IoT Sensor Data: a Case Study to Evaluate Techniques for Modelling Domestic Behaviour in Recovery from Total Hip Replacement Surgery,Michael Holmes; Miquel Perelló-Nieto; Hao Song; Emma L. Tonkin; Sabrina Grant; Peter Flach,Journal of Healthcare Informatics Research,10.1007/s41666-020-00072-6,"The study involves THA patients and uses IoT sensor data to characterize relationships with PROMs (Oxford Hip Score), but the abstract does not clearly state whether an AI/ML model was developed to predict PROMs—it describes trend analysis and pattern detection in sensor data compared to PROM scores rather than explicit ML-based PROM prediction, making criterion 2 ambiguous.",,,,
13,borderline,2021,Objective characterization of hip pain levels during walking by combining quantitative electroencephalography with machine learning,Atsushi Kimura; Yasue Mitsukura; Akihito Oya; Morio Matsumoto; Masaya Nakamura; Arihiko Kanaji; Takeshi Miyamoto,Scientific Reports,10.1038/s41598-021-82696-1,"The study includes THA patients (criterion 1 met) and uses machine learning (support vector machine, criterion 2 met), but the primary outcome is pain measured by a numerical rating scale rather than a validated PROM instrument like OHS or HOOS; while pain assessment is patient-reported, it is unclear whether this constitutes a recognized PROM or is simply a visual analog/numerical scale used as a secondary measure, making criterion 3 ambiguous.",,,,
14,borderline,2022,An orthopaedic intelligence application successfully integrates data from a smartphone-based care management platform and a robotic knee system using a commercial database,Jess H. Lonner; Mike B. Anderson; Roberta E. Redfern; Dave Van Andel; James C. Ballard; Sébastien Parratte,International Orthopaedics,10.1007/s00264-022-05651-3,No abstract available to assess whether the study develops/validates ML models for predicting PROMs following TKA; title suggests smartphone-based care management and robotic knee system integration but does not clarify if AI/ML models predict patient-reported outcomes.,,,,
15,borderline,2022,Identifying Subgroups of Patients Undergoing Knee Replacement,"McGinley, Brooke",ARTHRITIS & RHEUMATOLOGY,,No abstract available to assess whether the study develops ML/AI models predicting PROMs following TKA; full text review needed to determine if all three criteria are met.,,,,
16,borderline,2022,Identifying the Trajectory of Normal Recovery Following Knee Arthroplasty Via Physical Activity Monitoring,"Small, Scott Richard",,,No abstract available to assess whether the study develops AI/ML models to predict PROMs (criterion 2) or uses physical activity monitoring as a PROM outcome versus clinical outcome (criterion 3); full text review needed.,,,,
17,borderline,2022,Machine Learning: the Future of Total Knee Replacement,H. Gene Dossett,Federal Practitioner,10.12788/fp.0224,"No abstract available to assess whether all three criteria (TKA procedure, AI/ML method, PROM outcome) are met; full text review needed to determine relevance.",,,,
18,borderline,2022,Should We Aim to Help Patients “Feel Better” or “Feel Good” After Total Hip Arthroplasty? Determining Factors Affecting the Achievement of the Minimal Clinically Important Difference and Patient Acceptable Symptom State,Graham S. Goh; Saad Tarabichi; Colin M. Baker; Qudratullah S. Qadiri; Matthew S. Austin,The Journal of Arthroplasty,10.1016/j.arth.2022.08.014,"No abstract available to assess whether the study develops/validates AI/ML models (criterion 2) for predicting PROMs after THA (criteria 1 and 3 appear relevant based on title), making it impossible to confirm all three criteria are met from the title alone.",,,,
