#,year,title,source,doi,abstract_screening_decision,ai_decision,ai_exclusion_reason
1,,"Demand prediction method for total knee joint            replacement (TKR) in clinical auxiliary decision,            involves classifying output probability value of TKA            based on set risk threshold and visualized using color            coding, structural heatmaps, or Shapley interpretation            diagrams",,,borderline,include,
2,2014,Evaluating treatment effectiveness under model misspecification: A comparison of targeted maximum likelihood estimation with bias-corrected matching,Statistical Methods in Medical Research,10.1177/0962280214521341,borderline,include,
3,2017,Predicting and Analyzing Osteoarthritis Patient Outcomes with Machine Learning,Lund University Publications Student Papers (Lund University),,borderline,include,
4,2018,An Unsupervised Learning Model for Pattern Recognition in Routinely Collected Healthcare Data,International Conference on Health Informatics,10.5220/0006535602660273,borderline,include,
5,2018,Analysis of patient domestic activity in recovery from hip or knee replacement surgery: modelling wrist-worn wearable RSSI and accelerometer data in the wild,Bristol Research (University of Bristol),,borderline,include,
6,2018,Pre-operative sensor-based gait parameters predict functional outcome after total knee arthroplasty,Gait & Posture,10.1016/j.gaitpost.2018.08.026,borderline,include,
7,2019,PSU39 FEASIBILITY STUDY OF USING PATIENT REPORTED OUTCOMES AND PREDICTIVE ANALYTICS IN CLINICAL DECISION SUPPORT TO ENHANCE PATIENT CENTERED CARE,Value in Health,10.1016/j.jval.2019.09.2623,borderline,include,
8,2019,Remote Patient Monitoring Using Mobile Health for Total Knee Arthroplasty: Validation of a Wearable and Machine Learning-Based Surveillance Platform.,The Journal of arthroplasty,10.1016/j.arth.2019.05.021,borderline,include,
9,2020,"Data-driven Patient Profiles: Definition, validation, and implementation for tailored orthopaedic healthcare services",Research Repository (Delft University of Technology),10.4233/uuid:a9ed38e9-4cf5-4b35-a43c-68c1b283e938,borderline,include,
10,2020,Improving Patient Outcomes Following Total Knee Arthroplasty: Identifying Rehabilitation Pathways Based on Modifiable Psychological Risk and Resilience Factors,Frontiers in Psychology,10.3389/fpsyg.2020.01061,borderline,include,
11,2020,"Individualized predictions of changes in knee pain, quality of life and walking speed following patient education and exercise therapy in patients with knee osteoarthritis – a prognostic model study",Osteoarthritis and Cartilage,10.1016/j.joca.2020.05.014,borderline,include,
12,2020,Modelling Patient Behaviour Using IoT Sensor Data: a Case Study to Evaluate Techniques for Modelling Domestic Behaviour in Recovery from Total Hip Replacement Surgery,Journal of Healthcare Informatics Research,10.1007/s41666-020-00072-6,borderline,include,
13,2021,Objective characterization of hip pain levels during walking by combining quantitative electroencephalography with machine learning,Scientific Reports,10.1038/s41598-021-82696-1,borderline,include,
14,2022,An orthopaedic intelligence application successfully integrates data from a smartphone-based care management platform and a robotic knee system using a commercial database,International Orthopaedics,10.1007/s00264-022-05651-3,borderline,include,
15,2022,Identifying Subgroups of Patients Undergoing Knee Replacement,ARTHRITIS & RHEUMATOLOGY,,borderline,include,
16,2022,Identifying the Trajectory of Normal Recovery Following Knee Arthroplasty Via Physical Activity Monitoring,,,borderline,include,
17,2022,Machine Learning: the Future of Total Knee Replacement,Federal Practitioner,10.12788/fp.0224,borderline,include,
18,2022,Should We Aim to Help Patients “Feel Better” or “Feel Good” After Total Hip Arthroplasty? Determining Factors Affecting the Achievement of the Minimal Clinically Important Difference and Patient Acceptable Symptom State,The Journal of Arthroplasty,10.1016/j.arth.2022.08.014,borderline,include,
19,2023,"An AI-based patient-specific clinical decision support system for OA patients choosing surgery or not: study protocol for a single-centre, parallel-group, non-inferiority randomised controlled trial",Trials,10.1186/s13063-022-07039-5,borderline,include,
20,2023,An Interpretable Machine Learning Model for Predicting 10-Year Total Hip Arthroplasty Risk,The Journal of Arthroplasty,10.1016/j.arth.2023.03.087,borderline,include,
21,2023,Clinical phenotypes and prognostic factors in persons with hip osteoarthritis undergoing total hip arthroplasty: protocol for a longitudinal prospective cohort study (HIPPROCLIPS),BMC Musculoskeletal Disorders,10.1186/s12891-023-06326-9,borderline,include,
22,2023,Development of a machine learning algorithm to identify surgical candidates for hip and knee arthroplasty without in-person evaluation,Archives of Orthopaedic and Trauma Surgery,10.1007/s00402-023-04827-9,borderline,include,
23,2023,PROMIS cluster analysis predicts two-year outcomes in knee surgery patients,Journal of Orthopaedics,10.1016/j.jor.2023.04.001,borderline,include,
24,2023,Patient-Specific Pain Model for Identifying Patients at Risk Following TKA,Journal of Orthopaedic Experience & Innovation,10.60118/001c.74712,borderline,include,
25,2023,SMART choice (knee) tool: a patient-focused predictive model to predict improvement in health-related quality of life after total knee arthroplasty.,ANZ J Surg,10.1111/ans.18250,borderline,include,
26,2023,Using Presurgical Biopsychosocial Features to Develop an Advanced Clinical Decision-Making Support Tool for Predicting Recovery Trajectories in Patients Undergoing Total Knee Arthroplasty: Protocol for a Prospective Observational Study,JMIR Research Protocols,10.2196/48801,borderline,include,
27,2024,Artificial Intelligence for Clinically Meaningful Outcome Prediction in Orthopedic Research: Current Applications and Limitations,Current Reviews in Musculoskeletal Medicine,10.1007/s12178-024-09893-z,borderline,include,
28,2024,Comprehensive analysis of total knee arthroplasty kinematics and functional recovery: Exploring full-body gait deviations in patients with knee osteoarthritis,PLoS ONE,10.1371/journal.pone.0314991,borderline,include,
29,2024,Development of a Machine-Learning Model for Anterior Knee Pain After Total Knee Arthroplasty With Patellar Preservation Using Radiological Variables,The Journal of Arthroplasty,10.1016/j.arth.2024.02.006,borderline,include,
30,2024,Personalized Prediction of Pain and Function for Knee Osteoarthritis Patients 1 Year After Total Knee Arthroplasty Using Machine Learning,ARTHRITIS & RHEUMATOLOGY,,borderline,include,"Likely duplicate of #18 — same dataset, check DOI"
31,2024,"Predicting rapid progression in knee osteoarthritis: a novel and interpretable automated machine learning approach, with specific focus on young patients and early disease",Annals of the Rheumatic Diseases,10.1136/ard-2024-225872,borderline,include,
32,2024,"Predictive validity of machine learning vs a consensus-based MRI definition of osteoarthritis combined with radiographic osteoarthritis for the progression of cartilage loss, knee symptoms and total knee replacement",Osteoarthritis and Cartilage,10.1016/j.joca.2024.02.499,borderline,include,
33,2024,The Relationship Between Activity Captured Using Wearable Sensors and Capability in Patients Undergoing Total Joint Replacement,Journal of Clinical and Medical Surgery,10.52768/2833-5465/1171,borderline,include,
34,2024,UNDERSTANDING AGE AS A RISK FACTOR FOR COMPLICATIONS AFTER TOTAL KNEE ARTHROPLASTY: WHAT CAN WE LEARN FROM MACHINE LEARNING?,Osteoarthritis and Cartilage,10.1016/j.joca.2024.02.113,borderline,include,
35,2025,AI-Based Analysis of Post-Surgical Patient Data for Risk Stratification After Total Knee Arthroplasty,Journal of Artificial intelligence and Machine Learning,10.55124/jaim.v3i4.295,borderline,include,
36,2025,AUTOMATED EXTRACTION OF PATIENT-REPORTED PAIN OUTCOMES IN OSTEOARTHRITIS USING PROMPT ENGINEERING OF LARGE LANGUAGE MODELS,ANNALS OF THE RHEUMATIC DISEASES,10.1136/annrheumdis-2025-eular.b3516,borderline,include,
37,2025,Application of Artificial Intelligence and its Subsets in Various Stages of Knee Arthroplasty from Pre-op to Post-op: An Overview,Journal of Orthopaedics and Sports Medicine,10.26502/josm.511500185,borderline,include,
38,2025,Current Concepts in Artificial Intelligence-Assisted Arthroplasty: A Review of the Perioperative Pathway,Cureus,10.7759/cureus.99946,borderline,uncertain,"C2 unclear: robotic system described, no discrete ML PROM prediction model confirmed"
39,2025,Development of a Machine Learning Model for Determining Alignment in Knees Following Total Knee Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2025.06.016,borderline,include,
40,2025,Efficient surrogate-assisted inference for patient-reported outcome measures with complex missing mechanism,Electronic Journal of Statistics,10.1214/24-ejs2335,borderline,include,
41,2025,Enhanced rehabilitation after total joint replacement using a wearable high-density surface electromyography system,Frontiers in Rehabilitation Sciences,10.3389/fresc.2025.1657543,borderline,uncertain,"C2 unclear: robot comparison study, PROMs reported but no ML PROM prediction model"
42,2025,High-dimensional item response theory analysis of patient-reported outcomes in total knee arthroplasty,npj Digital Medicine,10.1038/s41746-025-01783-z,borderline,include,
43,2025,Insights From Inputs: Enhancing Revision Total Joint Arthroplasty Resource Allocation With Machine Learning Prediction,The Journal of Arthroplasty,10.1016/j.arth.2025.04.072,borderline,include,
44,2025,PREDICTING FUNCTIONAL OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY USING MACHINE LEARNING ALGORITHMS,ANNALS OF THE RHEUMATIC DISEASES,10.1136/annrheumdis-2025-eular.b53,borderline,include,Duplicate of #9
45,2025,Pain mechanistic networks: the development using supervised multivariate data analysis and implications for chronic pain,PAIN,10.1097/j.pain.0000000000003410,borderline,include,Duplicate of #8
46,2025,Predicting patient outcomes and risk for revision surgery after hip and knee replacement surgery: study protocol for a comparison of modelling approaches using the Swiss National Joint Registry (SIRIS),"Universität Zürich, ZORA",10.5167/uzh-280909,borderline,include,Duplicate of #10
47,2025,Predicting patient outcomes and risk for revision surgery after hip and knee replacement surgery: study protocol for a comparison of modelling approaches using the Swiss National Joint Registry (SIRIS),Diagnostic and Prognostic Research,10.1186/s41512-025-00200-z,borderline,include,Duplicate of #11
48,2025,"Shared decision making using digital twins in knee osteoarthritis care: a randomized clinical trial of an AI-enabled decision aid versus education alone on decision quality, physical function, and user experience",EClinicalMedicine,10.1016/j.eclinm.2025.103545,borderline,exclude,"C3: outcome is surgical demand prediction, not post-surgical PROM"
49,2026,Privacy-preserving federated prediction of health outcomes using multi-center survey data,BMC Medical Research Methodology,10.1186/s12874-026-02785-5,borderline,exclude,"C2: causal inference methodology (TMLE), not ML predictive model"
50,2026,Unsupervised Machine Learning Drives Dynamic Alignment Classification In Navigated Total Knee Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2026.04.091,borderline,uncertain,C1/C3: unclear if post-TKA/THA patients; unclear if outcomes are PROMs
51,2018,Predictive Model and Web-based Calculator for the Oxford Hip Score After Total Hip Replacement,Orthopedic & Muscular System,10.4172/2161-0533.1000252,include,include,K-means/hierarchical clustering on knee replacement PROM data — all criteria met
52,2019,Can Machine Learning Algorithms Predict Which Patients Will Achieve Minimally Clinically Important Differences From Total Joint Arthroplasty?,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,10.1097/corr.0000000000000687,include,exclude,"C3: ML predicts activity/location from wearables, not PROM"
53,2019,Predicting patient-reported outcomes following hip and knee replacement surgery using supervised machine learning,BMC Medical Informatics and Decision Making,10.1186/s12911-018-0731-6,include,exclude,"C3: primary ML outcome is gait biomechanics, not PROM"
54,2020,Can Machine Learning Methods Produce Accurate and Easy-to-Use Preoperative Prediction Models of One-Year Improvements in Pain and Functioning After Knee Arthroplasty?,The Journal of Arthroplasty,10.1016/j.arth.2020.07.026,include,uncertain,"Need full text: study type, ML method, and outcome unconfirmed (no abstract)"
55,2020,Development of Machine Learning Algorithms to Predict Clinically Meaningful Improvement for the Patient-Reported Health State After Total Hip Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2020.03.019,include,exclude,"C2: ML used for wearable surveillance monitoring, not PROM prediction"
56,2020,Natural Language Processing of Patient-Experience Comments After Primary Total Knee Arthroplasty,The Journal of Arthroplasty,10.1016/j.arth.2020.09.055,include,uncertain,C3: unclear if validated PROMs are the ML prediction target
57,2021,Development and internal validation of machine learning algorithms to predict patient satisfaction after total hip arthroplasty,Arthroplasty,10.1186/s42836-021-00087-3,include,exclude,"C4: conceptual proposal only, no model development results reported"
58,2021,Development of machine learning algorithms to predict achievement of minimal clinically important difference for the KOOS‐PS following total knee arthroplasty,Journal of Orthopaedic Research®,10.1002/jor.25125,include,exclude,"C1: OA patients receiving conservative management, not TKA/THA"
59,2021,Machine learning algorithms do not outperform preoperative thresholds in predicting clinically meaningful improvements after total knee arthroplasty,Knee Surgery Sports Traumatology Arthroscopy,10.1007/s00167-021-06642-4,include,exclude,"C2: ML characterises IoT behaviour patterns, does not predict PROMs"
60,2021,Patient Factors That Matter in Predicting Hip Arthroplasty Outcomes: A Machine-Learning Approach,The Journal of Arthroplasty,10.1016/j.arth.2020.12.038,include,exclude,"C3: outcome is NRS pain score, not a validated PROM instrument"
